#OTU_ID	JHT-1d-1	JHT-1d-2	JHT-2d-1	JHT-2d-2	JHT-3d-1	JHT-3d-2	JHT-4d-1	JHT-4d-2	JHT-12d-1	JHT-12d-2
OTU_0	436	677	485	490	377	570	1856	26344	2742	33765
OTU_1	6	2	3	2	1	1	2	1	1	10
OTU_2	0	0	0	0	0	0	0	0	0	0
OTU_3	0	0	0	0	0	0	0	0	0	0
OTU_4	0	0	0	0	0	0	0	0	0	0
OTU_5	0	0	0	0	0	0	0	0	0	0
OTU_6	0	0	0	0	0	0	0	0	0	0
OTU_7	0	2	1	0	1	0	0	0	1	0
OTU_8	0	3	2	0	1	0	0	0	1	0
OTU_9	3	6	3	2	5	1	1	2	1	5
OTU_10	0	0	0	0	0	0	0	0	1	0
OTU_11	0	1	0	0	0	1	0	0	0	0
OTU_12	0	0	0	0	0	1	0	0	0	0
OTU_13	0	0	0	0	0	1	0	0	0	0
OTU_14	0	2	0	0	0	0	0	0	0	1
OTU_15	0	1	0	0	0	0	0	0	0	0
OTU_16	0	1	2	1	1	0	0	0	1	0
OTU_17	0	1	0	1	0	0	1	0	0	1
OTU_18	1	0	0	0	0	0	1	0	0	0
OTU_19	1	0	0	0	0	0	0	0	1	0
OTU_20	0	1	0	0	0	0	0	0	0	0
OTU_21	1	0	0	0	0	0	0	0	0	0
OTU_22	0	3	0	0	0	0	0	0	0	0
OTU_23	0	3	0	0	0	0	0	0	0	0
OTU_24	0	0	0	0	0	0	1	0	0	0
OTU_25	0	0	0	0	0	0	0	0	1	0
OTU_26	0	1	0	0	0	0	0	0	0	0
OTU_27	0	1	0	1	0	0	1	0	1	1
OTU_28	0	0	0	1	0	0	0	0	0	0
OTU_29	0	0	0	1	0	0	0	0	0	0
OTU_30	0	1	0	0	0	0	0	0	0	0
OTU_31	0	1	1	0	0	0	0	0	0	0
OTU_32	0	0	0	2	0	0	0	0	0	0
OTU_33	0	2	0	0	0	0	0	0	0	0
OTU_34	0	1	0	1	1	0	1	0	2	0
OTU_35	1	2	0	0	0	0	0	0	0	0
OTU_36	0	19	6	2	6	3	6	2	8	11
OTU_37	0	0	0	0	0	0	0	1	0	0
OTU_38	1	0	1	3	1	0	0	0	0	0
OTU_39	0	2	2	1	1	1	0	0	0	0
OTU_40	0	1	0	0	1	0	0	0	0	0
OTU_41	1	6	0	1	4	2	1	1	5	7
OTU_42	0	1	2	1	0	0	0	0	1	1
OTU_43	0	0	0	0	0	0	0	0	1	0
OTU_44	0	0	0	0	0	0	0	1	0	0
OTU_45	0	0	0	0	1	0	0	0	0	0
OTU_46	0	1	1	0	0	0	0	0	0	1
OTU_47	15	22	21	15	11	19	13	13	13	11
OTU_48	0	0	0	0	0	0	0	0	0	0
OTU_49	0	0	0	0	0	0	0	0	0	0
OTU_50	0	0	0	0	0	0	0	0	0	0
OTU_51	0	0	0	0	0	0	0	0	0	0
OTU_52	6	14	5	3	2	3	3	3	5	1
OTU_53	0	1	0	0	0	1	0	0	0	0
OTU_54	1	0	0	0	0	0	0	0	0	0
OTU_55	1	1	1	1	1	5	1	2	5	2
OTU_56	0	0	0	0	0	0	0	0	0	0
OTU_57	0	0	0	0	0	0	0	0	0	0
OTU_58	0	0	0	0	0	0	0	0	0	0
OTU_59	0	0	0	0	0	0	0	0	0	0
OTU_60	29	53	31	22	15	18	33	15	22	22
OTU_61	0	1	0	0	0	0	0	0	0	0
OTU_62	0	0	0	0	1	1	0	0	1	0
OTU_63	1	0	0	1	0	0	0	0	0	0
OTU_64	5	4	1	2	4	7	6	8	4	2
OTU_65	0	1	0	0	1	0	0	0	0	0
OTU_66	0	0	0	0	0	0	0	1	0	0
OTU_67	15	13	15	9	11	20	21	8	10	9
OTU_68	0	2	0	0	0	0	0	0	0	0
OTU_69	0	1	0	0	0	0	0	0	1	0
OTU_70	0	1	2	0	0	1	0	0	1	1
OTU_71	1	6	1	1	1	0	0	0	0	1
OTU_72	0	0	0	0	1	0	0	0	2	2
OTU_73	0	0	0	0	0	0	0	0	0	1
OTU_74	0	1	0	0	0	0	0	0	0	0
OTU_75	0	0	0	0	0	0	0	0	0	0
OTU_76	0	0	0	0	0	0	0	0	0	0
OTU_77	0	0	0	0	0	0	0	0	0	0
OTU_78	0	0	0	0	0	0	0	0	0	0
OTU_79	1	0	0	0	1	0	1	0	0	2
OTU_80	0	0	0	0	0	1	0	0	0	0
OTU_81	1	0	2	0	0	0	0	0	0	1
OTU_82	0	1	0	0	0	0	0	0	0	0
OTU_83	0	0	0	0	0	0	0	0	0	0
OTU_84	0	0	0	0	0	0	0	0	0	0
OTU_85	0	0	0	0	0	0	0	0	0	0
OTU_86	0	0	0	0	0	0	0	0	0	0
OTU_87	0	0	0	0	0	0	0	0	0	0
OTU_88	0	5	1	2	0	0	0	0	0	1
OTU_89	0	1	1	0	0	1	0	0	0	0
OTU_90	1	4	1	0	2	2	1	0	3	2
OTU_91	0	4	0	1	0	0	1	0	0	2
OTU_92	2	4	6	2	2	2	1	0	0	0
OTU_93	0	0	0	0	0	0	1	0	0	0
OTU_94	0	0	0	0	0	0	0	0	0	0
OTU_95	0	0	0	0	0	0	0	0	0	0
OTU_96	0	0	0	0	0	0	0	0	0	0
OTU_97	0	0	0	0	0	0	0	0	0	0
OTU_98	6	8	4	4	6	0	1	0	3	4
